,ilkid,firstname,lastname,leag_rg,gp_rg,minutes_rg,pts_rg,oreb_rg,dreb_rg,reb_rg,asts_rg,stl_rg,blk_rg,turnover_rg,pf_rg,fga_rg,fgm_rg,fta_rg,ftm_rg,tpa_rg,tpm_rg,leag_po,gp_po,minutes_po,pts_po,dreb_po,oreb_po,reb_po,asts_po,stl_po,blk_po,turnover_po,pf_po,fga_po,fgm_po,fta_po,ftm_po,tpa_po,tpm_po,position,firstseason,lastseason,weight,college,age,retirement_age,start_age,career_span,height,leag,firstyear,lastyear,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,tpa,tpm
0,ABDELAL01,Alaa,Abdelnaby,N,256.0,3200.0,1465.0,283.0,563.0,846.0,85.0,71.0,69.0,247.0,484.0,1236.0,620.0,321.0,225.0,3.0,0.0,N,17.0,106.0,38.0,17.0,3.0,20.0,3.0,0.0,1.0,11.0,11.0,40.0,18.0,4.0,2.0,0.0,0.0,F,1990.0,1994.0,240.0,Duke,53.0,26.0,22.0,4.0,82.0,,,,,,,,,,,,,,,,,,,
1,ABDULKA01,Kareem,Abdul-jabbar,N,1560.0,57446.0,38387.0,2975.0,9394.0,17440.0,5660.0,1160.0,3189.0,2527.0,4657.0,28307.0,15837.0,9304.0,6712.0,18.0,1.0,N,237.0,8851.0,5762.0,833.0,355.0,2481.0,767.0,150.0,399.0,404.0,787.0,4422.0,2356.0,1419.0,1050.0,4.0,0.0,C,1969.0,1988.0,225.0,UCLA,74.0,41.0,22.0,19.0,86.0,N,1969.0,1988.0,19.0,548.0,264.0,0.0,0.0,142.0,54.0,0.0,0.0,0.0,0.0,212.0,110.0,53.0,0.0,0.0
2,ABDULMA01,Mahmo,Abdul-rauf,N,586.0,15633.0,8553.0,219.0,868.0,1087.0,2079.0,487.0,46.0,963.0,1107.0,7943.0,3514.0,1161.0,1051.0,1339.0,474.0,N,15.0,415.0,195.0,18.0,5.0,23.0,35.0,7.0,1.0,22.0,37.0,187.0,69.0,45.0,43.0,49.0,14.0,G,1990.0,2000.0,162.0,LSU,52.0,31.0,21.0,10.0,73.0,,,,,,,,,,,,,,,,,,,
3,ABDULTA01,Tariq,Abdul-wahad,N,236.0,4808.0,1830.0,275.0,501.0,776.0,266.0,184.0,82.0,309.0,485.0,1726.0,720.0,529.0,372.0,76.0,18.0,N,13.0,178.0,68.0,24.0,17.0,41.0,11.0,4.0,4.0,4.0,14.0,63.0,24.0,24.0,20.0,3.0,0.0,G,1997.0,2002.0,223.0,Michigan,47.0,28.0,23.0,5.0,78.0,,,,,,,,,,,,,,,,,,,
4,ABDURSH01,Shareef,Abdur-rahim,N,672.0,24862.0,13338.0,1498.0,3976.0,5474.0,1847.0,718.0,556.0,1911.0,1845.0,10215.0,4789.0,4427.0,3614.0,477.0,146.0,,,,,,,,,,,,,,,,,,,F,1996.0,2004.0,225.0,California,44.0,27.0,19.0,8.0,81.0,N,2001.0,2001.0,1.0,21.0,9.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,1.0,1.0
5,ABERNTO01,Tom,Abernethy,N,319.0,5434.0,1779.0,374.0,637.0,1011.0,384.0,185.0,60.0,129.0,525.0,1472.0,724.0,443.0,331.0,2.0,0.0,N,13.0,226.0,68.0,0.0,0.0,42.0,23.0,0.0,0.0,0.0,18.0,54.0,22.0,29.0,24.0,0.0,0.0,F,1976.0,1980.0,220.0,Indiana,67.0,26.0,22.0,4.0,79.0,,,,,,,,,,,,,,,,,,,
6,ABLEFO01,Forest,Able,N,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,G,1956.0,1956.0,180.0,Western Kentucky,89.0,24.0,24.0,0.0,75.0,,,,,,,,,,,,,,,,,,,
7,ABRAMJO01,John,Abramovic,N,56.0,0.0,533.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,171.0,855.0,203.0,185.0,127.0,0.0,0.0,,,,,,,,,,,,,,,,,,,F,1946.0,1947.0,195.0,Salem,102.0,28.0,27.0,1.0,75.0,,,,,,,,,,,,,,,,,,,
8,ACKERDO01,Donald,Ackerman,N,28.0,220.0,43.0,0.0,0.0,15.0,23.0,0.0,0.0,0.0,43.0,63.0,14.0,28.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,G,1953.0,1953.0,183.0,LIU,91.0,23.0,23.0,0.0,72.0,,,,,,,,,,,,,,,,,,,
9,ACRESMA01,Mark,Acres,N,375.0,5982.0,1343.0,581.0,944.0,1525.0,180.0,137.0,104.0,235.0,932.0,1016.0,514.0,463.0,308.0,13.0,7.0,N,19.0,160.0,37.0,23.0,14.0,37.0,2.0,1.0,1.0,6.0,33.0,27.0,14.0,18.0,9.0,2.0,0.0,C,1987.0,1992.0,220.0,Oral Roberts,58.0,29.0,24.0,5.0,83.0,,,,,,,,,,,,,,,,,,,
10,ACTONCH01,Charles,Acton,N,23.0,195.0,77.0,0.0,0.0,47.0,11.0,0.0,0.0,0.0,35.0,74.0,29.0,29.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,F,1967.0,1967.0,210.0,Hillsdale (MI),79.0,25.0,25.0,0.0,78.0,,,,,,,,,,,,,,,,,,,
