,ilkid,all_star_leag,all_star_firstyear,all_star_lastyear,all_star_gp,all_star_minutes,all_star_total_pts,all_star_dreb,all_star_oreb,all_star_reb,all_star_asts,all_star_stl,all_star_blk,all_star_turnover,all_star_pf,all_star_fga,all_star_fgm,all_star_fta,all_star_tpa,all_star_tpm
0,ABDURSH01 ,N,2001,2001,1,21,9.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,1.0,1.0
1,ABDULKA01 ,N,1969,1988,19,548,264.0,0.0,0.0,142.0,54.0,0.0,0.0,0.0,0.0,212.0,110.0,53.0,0.0,0.0
2,ADAMSAL01 ,N,1975,1975,1,11,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
3,ADAMSMI01 ,N,1991,1991,1,14,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0
4,AGUIRMA01 ,N,1983,1987,3,42,36.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,24.0,13.0,10.0,0.0,0.0
5,AINGEDA01 ,N,1987,1987,1,19,12.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,4.0,2.0,0.0,0.0
6,ALLENRA02 ,N,1999,2003,4,84,60.0,5.0,5.0,10.0,13.0,8.0,2.0,8.0,7.0,58.0,23.0,10.0,27.0,6.0
7,ANDERKE02 ,N,1993,1993,1,16,6.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0
8,ARCHINA01 ,N,1972,1981,6,164,77.0,0.0,0.0,31.0,42.0,0.0,0.0,0.0,0.0,62.0,29.0,25.0,0.0,0.0
9,ARIZIPA01 ,N,1950,1961,10,305,137.0,0.0,0.0,47.0,6.0,0.0,0.0,0.0,0.0,116.0,54.0,36.0,0.0,0.0
10,ARMSTBJ01 ,N,1993,1993,1,22,11.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0
11,ARTESRO01 ,N,2003,2003,1,17,7.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,2.0,5.0,3.0,2.0,1.0,0.0
12,BAKERVI01 ,N,1994,1997,4,70,35.0,7.0,13.0,24.0,3.0,1.0,0.0,0.0,3.0,31.0,13.0,12.0,0.0,0.0
13,BARKLCH01 ,N,1986,1996,10,308,113.0,0.0,0.0,60.0,16.0,0.0,0.0,0.0,0.0,91.0,45.0,32.0,0.0,0.0
14,BARKSDO01 ,N,1952,1952,1,11,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
15,BARNEDI01 ,N,1967,1967,1,22,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,2.0,0.0,0.0
16,BARNEMA01 ,A,1974,1975,2,34,23.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0,18.0,9.0,5.0,0.0,0.0
17,BARNHLE01 ,N,1951,1952,2,36,16.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,18.0,8.0,2.0,0.0,0.0
18,BARRODA01 ,N,1994,1994,1,11,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
19,BARRYRI01 ,A,1968,1971,4,82,44.0,12.0,5.0,24.0,18.0,0.0,0.0,4.0,7.0,37.0,16.0,14.0,0.0,0.0
20,BARRYRI01 ,N,1965,1977,8,294,128.0,0.0,0.0,29.0,31.0,0.0,0.0,0.0,0.0,111.0,54.0,24.0,0.0,0.0
21,BAYLOEL01 ,N,1958,1969,11,321,218.0,0.0,0.0,99.0,38.0,0.0,0.0,0.0,0.0,164.0,70.0,98.0,0.0,0.0
22,BEARDBU01 ,N,1971,1971,1,7,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0
